the_geom,PlaceID,YearPlaceID,City,State,CityState,Year,AsOfDate,dockID,dockCt,stationCt_pct,stationCt_bin,dockNm,docklessCt,dockless_bin,docklessNm,scooterCt,scooter_bin,scooterNm,Type,Lat,Lon,Notes,fips,datedocklaunch,datedockclosed
POINT (-110.769167 43.475278),WY00231,2020WY00231,Jackson,WY,"Jackson, WY","2,020","202,006",115,18,0.27,1,START,0,,-,0,,-,Docked only,43.475278,-110.769167,,56039,04/2018,
POINT (-72.926595 41.30615),CT00240,2018CT00240,New Haven,CT,"New Haven, CT","2,018","201,812",137,30,0.43,1,Bike New Haven,0,,-,0,,-,Docked only,41.30615,-72.926595,,9009,02/2019,May-20
POINT (-83.0457538 42.331427),MI00128,2017MI00128,Detroit,MI,"Detroit, MI","2,017","201,712",101,43,0.71,1,Mo Go,0,,-,0,,-,Docked only,42.331427,-83.045754,,26163,05/2017,
POINT (-90.0489801 35.1495343),TN00191,2018TN00191,Memphis,TN,"Memphis, TN","2,018","201,812",118,73,1.06,2,Explore,0,,-,2,2,"Bird, Lime",Docked and e-scooters,35.149534,-90.04898,,47157,05/2018,
POINT (-86.2519898 41.6763545),IN0088,2017IN0088,South Bend,IN,"South Bend, IN","2,017","201,712",,,,,-,1,1,LimeBike,0,,-,Dockless only,41.676355,-86.25199,,18141,,
POINT (-73.7629097 41.03398620000001),NY00162,2017NY00162,White Plains,NY,"White Plains, NY","2,017","201,712",,,,,-,0,,-,0,,-,,41.033986,-73.76291,,36119,,
POINT (-80.3553302 25.8195424),FL0049,2017FL0049,Doral,FL,"Doral, FL","2,017","201,712",,,,,-,1,1,Spin,0,,-,Dockless only,25.819542,-80.35533,,12086,,
POINT (-122.41941550000001 37.7749295),CA0026,2020CA0026,San Francisco,CA,"San Francisco, CA","2,020","202,006",42,490,7.35,4,Bay Area BikeShare (became Ford GoBike 06/28/2017 then became Bay Wheels 06/2019),2,2,"Jump, Spin",2,2,"Spin, Scoot",All micro,37.774929,-122.419415,,6075,08/2013,
POINT (-71.276667 42.490556),MA0096,2018MA0096,Bedford,MA,"Bedford, MA","2,018","201,812",,,,,-,1,1,LimeBike,1,1,Lime,Dockless and e-scooters,42.490556,-71.276667,,25017,,
POINT (-73.7629097 41.03398620000001),NY00162,2019NY00162,White Plains,NY,"White Plains, NY","2,019","201,912",,,,,-,0,,-,1,1,Lime,E-scooters only,41.033986,-73.76291,,36119,,
POINT (-82.127778 33.5375),GA0068,2018GA0068,Evans,GA,"Evans, GA","2,018","201,812",45,1,0.01,1,Columbia County B-cycle,0,,-,0,,-,Docked only,33.5375,-82.127778,,13073,03/2014,
POINT (-81.9320482 34.9495672),SC00187,2015SC00187,Spartanburg,SC,"Spartanburg, SC","2,015","201,512",23,5,0.15,1,Spartanburg B-cycle,0,,-,0,,-,Docked only,34.949567,-81.932048,,45083,07/2011,
POINT (-86.954444 38.296944),IN0086,2020IN0086,Huntingburg,IN,"Huntingburg, IN","2,020","202,006",,,,,-,0,,-,0,,-,,38.296944,-86.954444,,18037,,
POINT (-111.8910474 40.7607793),UT00210,2019UT00210,Salt Lake City,UT,"Salt Lake City, UT","2,019","201,912",15,34,0.5,1,GreenBikes,0,,-,4,4,"Bird, Lime, Spin, Razor",Docked and e-scooters,40.760779,-111.891047,,49035,04/2013,
POINT (-78.6381787 35.7795897),NC00142,2015NC00142,Raleigh,NC,"Raleigh, NC","2,015","201,512",,,,,-,0,,-,0,,-,,35.77959,-78.638179,,37183,,
POINT (-117.1610838 32.715738),CA0025,2019CA0025,San Diego,CA,"San Diego, CA","2,019","201,912",,,,,,2,2,"Jump, Spin",4,4,"Bird, Lyft, Spin, Wheels (through July 2020)",Dockless and e-scooters,32.715738,-117.161084,,6073,,
POINT (-80.4139393 37.2295733),VA00215,2020VA00215,Blacksburg,VA,"Blacksburg, VA","2,020","202,006",125,12,0.18,1,ROAM NRV,0,,-,1,1,Spin,Docked and e-scooters,37.229573,-80.413939,,51121,08/2018,
POINT (-84.5120196 39.1031182),OH00164,2019OH00164,Cincinnati,OH,"Cincinnati, OH","2,019","201,912",57,57,0.85,1,Cincy RedBike Bike,0,,-,2,2,"Lime, Bird",Docked and e-scooters,39.103118,-84.51202,,39061,09/2014,
POINT (-91.675047 41.969648),IA00234,2019IA00234,Cedar Rapids,IA,"Cedar, Rapids, IA","2,019","201,912",,,,,-,1,1,Veoride,1,1,Veoride,Dockless and e-scooters,41.969648,-91.675047,,19113,,
POINT (-96.6988856 33.0198431),TX00204,2016TX00204,Plano,TX,"Plano, TX","2,016","201,612",,,,,-,0,,-,0,,-,,33.019843,-96.698886,,48085,,
POINT (-93.3499489 44.8896866),MN00130,2018MN00130,Edina,MN,"Edina, MN","2,018","201,812",,,,,-,0,,-,0,,-,,44.889687,-93.349949,,27053,,
POINT (-80.13731740000001 26.1224386),FL0050,2020FL0050,Fort Lauderdale,FL,"Fort Lauderdale, FL","2,020","202,006",12,21,0.32,1,Broward B-cycle,0,,-,0,,-,Docked only,26.122439,-80.137317,,12011,12/2011,
POINT (-118.0019482 34.1442616),CA0020,2018CA0020,Monrovia,CA,"Monrovia, CA","2,018","201,812",,,,,-,1,1,LimeBike,0,,-,Dockless only,34.144262,-118.001948,,6037,,
POINT (-122.363611 37.583333),CA0014,2020CA0014,Burlingame,CA,"Burlingame, CA","2,020","202,006",,,,,-,0,,-,0,,-,,37.583333,-122.363611,,6081,,
POINT (-75.593333 38.365833),MD00121,2019MD00121,Salisbury,MD,"Salisbury, MD","2,019","201,912",,,,,-,0,,-,1,1,Gotcha,E-scooters only,38.365833,-75.593333,,24045,,
POINT (-73.7562317 42.6525793),NY00156,2019NY00156,Albany,NY,"Albany, NY","2,019","201,912",113,76,1.13,2,CDPHP,0,,-,0,,-,Docked only,42.652579,-73.756232,,36001,07/2017,
POINT (-97.0583681 36.1156071),OK00174,2017OK00174,Stillwater,OK,"Stillwater, OK","2,017","201,712",,,,,-,0,,-,0,,-,,36.115607,-97.058368,,40119,,
POINT (-122.0651819 37.9100783),CA0036,2019CA0036,Walnut Creek,CA,"Walnut Creek, CA","2,019","201,912",,,,,-,0,,-,0,,-,,37.910078,-122.065182,,6013,,
POINT (-84.3879824 33.7489954),GA0066,2017GA0066,Atlanta,GA,"Atlanta, GA","2,017","201,712",77,113,1.85,2,Relay Bike Share,0,,-,0,,-,Docked only,33.748995,-84.387982,,13121,06/2016,
POINT (-81.6943605 41.49932),OH00165,2018OH00165,Cleveland,OH,"Cleveland, OH","2,018","201,812",79,36,0.52,1,UH Bikes,0,,-,0,,-,Docked only,41.49932,-81.694361,,39035,09/2016,Nov-19
POINT (-77.10164 38.882409),VA00214,2018VA00214,Arlington,VA,"Arlington, VA","2,018","201,812",,,,,-,0,,-,3,3,"Bird, Lime, Lyft",E-scooters only,38.882409,-77.10164,,51013,,
POINT (-87.6297982 41.8781136),IL0079,2020IL0079,Chicago,IL,"Chicago, IL","2,020","202,006",60,612,9.18,4,Divvy,1,1,HOPR (Forest Preserves of Cook County),0,,"Bird, Lime, Spin (mid-August through December 2020. 2019 pilot was issued to 10 companies and ran 06/15/2019 to 10/15/2019)",All bikes,41.878114,-87.629798,,17031,06/2013,
